,"
더클라임",영등포 알레,V⒑,영등포구 서울볼더스,"서울숲

",강남,ICN,강서,성수 훅클라이밍,서초 게이트원,부산 죠스,부산 웨이브락,부산 피플락,창원 광클라이밍,송파 락스타,마포 코알라,종로 더코아,강남 락트리,광주 레드원,전남 순천 몬타렉스,문래 더플라스틱,김해 두클라이밍,부산 락오디세이,아차산역 버티고,부산 브로스,강남 비블럭,수원 그래비티,수원 클라임바운스,가산 어거스트,대림역 에이스,서울대입구역 정지현,서울대입구역 정지현,영등포 클라임웍스,김포 픽,광주 핸드워크,신설동역 산타,제주 픽스볼더,인천 록키,일본 오기쿠보,인천 클라이밍줌,볼더생활,클라이밍파크,홍대볼더프렌즈,클라임어스 모란,대전 베이스캠프,마산 비스타클라이밍,대구 노루클라이밍,드림캐처,KCLIMB,알레클라이밍 혜화,피커스,클라이밍파크 종로,군포 볼더팝,부천 캐치스톤,서울산악문화체험센터,웨어하우스,압구정 타잔 101 ver.1,압구정 타잔 101 ver.2,압구정 타잔 101 ver.3,원주 고고클라이밍,수원 언더독클라임
선수(v10~),검정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1단,,,,,,,,,,,,,,,,회색,,보라,,,,
v9,갈색,,검정,,,,,,,,,검정,,,,,검정,검정,,,,,갈색,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v8,,,,보라,,,,,,,,회색,,,,,,,,,,,검정,,,검정,,,,검정,,,,,,갈색,,,,,,,,,,,검정,,,,,,,,빨강,,남색,,,,
쌉고수(v7~v8),,,,,,,,,,,,흰색,,검정,,검정,빨강,,빨강,,,,,,,,🌍,검정,,,,,,,,,,,1급,,,,,,,,,,,,,,,,,,,,,,
,회색,,,,,,,,,,,,,갈색,검정,,,검정,,,,,보라,,,,,,B,,,,,,검정,빨강,,1단,,,,흰색,,,,,,,,,,검정,,,,,,,,,검정
쌉고수 진입(v6~v7),,핑크,,,검정,검정,검정,,,,ㅎ,,검정,회색,,,,,남색,검정,검정,남색,파랑,빨강,,남색,,,,보라,,"종
페
티
션
월",,,,,,,2급,,,,,,,,갈색,검정,,,,,,"무
지
개",,,,갈색,갈색,,
,,,남색,남색,,,,검정,별,,,갈색,,,,보라,,,,,,,,,,,흰색,,,,갈색,,,,갈색,,,,3급,,,,,,,,,,,핑크,검정,,남색,,,,,,,,
고수(v6),보라,,,,,,,,,,흰색,,회색,,,,,보라,,,,회색,하늘,파랑,,빨강,,,,남색,,,,,,파랑,검정,1급,,보라,,검정,,,,,,,,,,,,,파랑,검정,파랑,,,,
v5,,갈색,,,보라,빨강,빨강,,,,,,,보라,보라,,,,보라,,보라,,,,,,,갈색,,,,,검정,보라,주황,,,,4급,,,,,,,,보라,보라,,,,회색,,,,,,보라,보라,검정,
